time,input_voltage,el_power
810.07028,10,1228.79172
811.06938,10,1223.041745
812.06848,10,1244.960866
813.06758,10,1229.259058
814.06668,10,1248.117024
815.06578,10,1262.974403
816.06488,10,1248.07756
817.06398,10,1245.101476
818.06308,10,1275.365542
819.06218,10,1263.10121
820.06128,10,1263.135961
821.06038,10,1285.34918
822.05948,10,1294.477938
823.05858,10,1280.096762
824.05768,10,1292.693658
825.05678,10,1286.458995
826.05588,10,1310.957571
827.05498,10,1290.560136
828.05408,10,1315.236768
829.05318,10,1302.435053
830.05228,10,1319.645179
831.05138,10,1302.04648
832.05048,10,1336.803594
833.04958,10,1321.661075
834.04868,10,1323.497237
835.04778,10,1342.728984
836.04688,10,1349.459628
837.04598,10,1330.78014
838.04508,10,1362.216775
839.04418,10,1347.406501
840.04328,10,1362.569911
841.04238,10,1348.3811
842.04148,10,1377.600704
843.04058,10,1365.307684
844.03968,10,1366.746732
845.03878,10,1386.729809
846.03788,10,1397.534765
847.03698,10,1385.192178
848.03608,10,1403.270041
849.03518,10,1423.426953
850.03428,10,1405.344692
851.03338,10,1423.76026
852.03248,10,1411.629927
853.03158,10,1437.982116
854.03068,10,1426.225812
855.02978,10,1444.567583
856.02888,10,1457.349883
857.02798,10,1442.31963
858.02708,10,1458.110571
859.02618,10,1456.665667
860.02528,10,1477.277599
861.02438,10,1462.912033
862.02348,10,1486.565233
863.02258,10,1474.306625
864.02168,10,1494.213168
865.02078,10,1481.830351
866.01988,10,1510.222558
867.01898,10,1489.920998
868.01808,10,1504.346053
869.01718,10,1498.548073
870.01628,10,1524.670034
871.01538,10,1507.911138
872.01448,10,1535.731178
873.01358,10,1519.784267
874.01268,10,1539.922862
875.01178,10,1523.882411
876.01088,10,1547.521284
877.00998,10,1536.978498
878.00908,10,1558.979745
879.00818,10,1553.156496
880.00728,10,1573.204793
881.00638,10,1556.789096
882.00548,10,1577.394291
883.00458,10,1594.291152
884.00368,10,1577.555362
885.00278,10,1604.391065
886.00188,10,1592.265299
